Title: sol11
Assay date: 11/01/2022 10:35:16
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

	Curve #1	Curve #2	Curve #3	
nm	ABS	ABS	ABS
400	0,136751	0,149876	0,149876
401	0,130715	0,143816	0,143816
402	0,12608	0,139519	0,139519
403	0,120794	0,134852	0,134852
404	0,114875	0,129606	0,129606
405	0,109387	0,124738	0,124738
406	0,104151	0,120134	0,120134
407	0,0989693	0,11558	0,11558
408	0,0946239	0,111815	0,111815
409	0,0909877	0,108721	0,108721
410	0,0876154	0,105874	0,105874
411	0,0845751	0,103337	0,103337
412	0,081991	0,101225	0,101225
413	0,0794456	0,0991276	0,0991276
414	0,0770413	0,097143	0,097143
415	0,0749844	0,0954656	0,0954656
416	0,0731111	0,0939474	0,0939474
417	0,071371	0,0925449	0,0925449
418	0,0697776	0,0912715	0,0912715
419	0,0682696	0,0900698	0,0900698
420	0,0669129	0,0890042	0,0890042
421	0,0658123	0,0881779	0,0881779
422	0,0650713	0,0876947	0,0876947
423	0,0647349	0,0876	0,0876
424	0,0647471	0,0878402	0,0878402
425	0,064898	0,0882042	0,0882042
426	0,0651373	0,0886398	0,0886398
427	0,0653859	0,0890635	0,0890635
428	0,0656282	0,0894587	0,0894587
429	0,0658674	0,0898194	0,0898194
430	0,0661961	0,0902476	0,0902476
431	0,0665735	0,0907077	0,0907077
432	0,0669976	0,0911908	0,0911908
433	0,0674048	0,0916434	0,0916434
434	0,0678258	0,0920942	0,0920942
435	0,0682071	0,0924904	0,0924904
436	0,068675	0,092945	0,092945
437	0,0691224	0,0933634	0,0933634
438	0,069589	0,093781	0,093781
439	0,0701228	0,0942448	0,0942448
440	0,0708408	0,0948642	0,0948642
441	0,0715678	0,0954771	0,0954771
442	0,0726086	0,0963797	0,0963797
443	0,0738749	0,097468	0,097468
444	0,0750673	0,098457	0,098457
445	0,0759405	0,0991159	0,0991159
446	0,0767902	0,0997279	0,0997279
447	0,0770998	0,0997805	0,0997805
448	0,0770247	0,0994607	0,0994607
449	0,077175	0,0993573	0,0993573
450	0,0778652	0,0997639	0,0997639
451	0,0785215	0,100129	0,100129
452	0,0797514	0,101057	0,101057
453	0,0814657	0,102423	0,102423
454	0,0828596	0,103454	0,103454
455	0,0843889	0,104609	0,104609
456	0,0862487	0,106091	0,106091
457	0,0879122	0,107396	0,107396
458	0,0893422	0,108511	0,108511
459	0,0912804	0,110146	0,110146
460	0,0925824	0,111173	0,111173
461	0,0937023	0,112007	0,112007
462	0,0947502	0,112728	0,112728
463	0,0958259	0,113423	0,113423
464	0,0966829	0,11387	0,11387
465	0,0978655	0,114609	0,114609
466	0,0990174	0,115297	0,115297
467	0,100238	0,116048	0,116048
468	0,101454	0,116803	0,116803
469	0,102641	0,11752	0,11752
470	0,103915	0,118308	0,118308
471	0,105355	0,119247	0,119247
472	0,107043	0,120431	0,120431
473	0,108916	0,121779	0,121779
474	0,110867	0,123212	0,123212
475	0,112808	0,124645	0,124645
476	0,114841	0,126183	0,126183
477	0,116864	0,127705	0,127705
478	0,119073	0,129431	0,129431
479	0,121604	0,131466	0,131466
480	0,124374	0,133724	0,133724
481	0,127189	0,136024	0,136024
482	0,130123	0,138448	0,138448
483	0,133083	0,140879	0,140879
484	0,135985	0,143252	0,143252
485	0,138881	0,145636	0,145636
486	0,141893	0,148132	0,148132
487	0,144977	0,150693	0,150693
488	0,148124	0,153325	0,153325
489	0,151356	0,156041	0,156041
490	0,154662	0,158819	0,158819
491	0,158026	0,161656	0,161656
492	0,161506	0,164617	0,164617
493	0,165164	0,167748	0,167748
494	0,169071	0,171122	0,171122
495	0,173241	0,174762	0,174762
496	0,177661	0,178648	0,178648
497	0,182297	0,182734	0,182734
498	0,187055	0,186952	0,186952
499	0,191811	0,191183	0,191183
500	0,196744	0,195577	0,195577
501	0,20177	0,200067	0,200067
502	0,206816	0,204593	0,204593
503	0,212017	0,209265	0,209265
504	0,217594	0,21429	0,21429
505	0,223229	0,21939	0,21939
506	0,229143	0,224762	0,224762
507	0,235443	0,230508	0,230508
508	0,241922	0,236443	0,236443
509	0,248327	0,242334	0,242334
510	0,254992	0,248479	0,248479
511	0,261804	0,254782	0,254782
512	0,268679	0,261158	0,261158
513	0,275847	0,267827	0,267827
514	0,283517	0,274972	0,274972
515	0,291444	0,282373	0,282373
516	0,299478	0,289877	0,289877
517	0,308011	0,297863	0,297863
518	0,316789	0,306077	0,306077
519	0,325554	0,314289	0,314289
520	0,334582	0,322748	0,322748
521	0,344184	0,331763	0,331763
522	0,353617	0,340616	0,340616
523	0,363192	0,349614	0,349614
524	0,373341	0,359157	0,359157
525	0,383704	0,368914	0,368914
526	0,393998	0,37861	0,37861
527	0,404842	0,388841	0,388841
528	0,416088	0,399474	0,399474
529	0,427131	0,409928	0,409928
530	0,438472	0,420681	0,420681
531	0,450539	0,432141	0,432141
532	0,462845	0,443833	0,443833
533	0,475504	0,455867	0,455867
534	0,489271	0,468969	0,468969
535	0,503285	0,482314	0,482314
536	0,516756	0,495133	0,495133
537	0,530289	0,508021	0,508021
538	0,54362	0,520691	0,520691
539	0,555815	0,532257	0,532257
540	0,567989	0,543789	0,543789
541	0,581029	0,556161	0,556161
542	0,594251	0,56869	0,56869
543	0,607404	0,581156	0,581156
544	0,621803	0,594837	0,594837
545	0,636248	0,608549	0,608549
546	0,649988	0,62156	0,62156
547	0,663874	0,634735	0,634735
548	0,67853	0,648674	0,648674
549	0,692505	0,661962	0,661962
550	0,707082	0,67589	0,67589
551	0,722679	0,690826	0,690826
552	0,737885	0,705396	0,705396
553	0,752148	0,719051	0,719051
554	0,766835	0,733083	0,733083
555	0,780377	0,745978	0,745978
556	0,793245	0,758257	0,758257
557	0,807087	0,771489	0,771489
558	0,822678	0,786437	0,786437
559	0,838603	0,801774	0,801774
560	0,856374	0,818909	0,818909
561	0,875193	0,836996	0,836996
562	0,894219	0,85525	0,85525
563	0,912907	0,87314	0,87314
564	0,932635	0,89197	0,89197
565	0,952663	0,911056	0,911056
566	0,973042	0,930483	0,930483
567	0,994491	0,950927	0,950927
568	1,01781	0,973149	0,973149
569	1,04185	0,996083	0,996083
570	1,06734	1,02042	1,02042
571	1,09499	1,04683	1,04683
572	1,12378	1,07433	1,07433
573	1,15268	1,10198	1,10198
574	1,18282	1,1308	1,1308
575	1,21362	1,16027	1,16027
576	1,24414	1,1895	1,1895
577	1,27552	1,21958	1,21958
578	1,30867	1,25136	1,25136
579	1,34229	1,2836	1,2836
580	1,37625	1,31622	1,31622
581	1,41122	1,34984	1,34984
582	1,44539	1,38271	1,38271
583	1,47719	1,41333	1,41333
584	1,5072	1,44228	1,44228
585	1,53481	1,46891	1,46891
586	1,55888	1,49215	1,49215
587	1,57998	1,51254	1,51254
588	1,59831	1,5303	1,5303
589	1,6129	1,54447	1,54447
590	1,62327	1,55462	1,55462
591	1,62923	1,56058	1,56058
592	1,63011	1,56167	1,56167
593	1,62566	1,55764	1,55764
594	1,61525	1,5479	1,5479
595	1,5988	1,53237	1,53237
596	1,57687	1,51153	1,51153
597	1,54924	1,4852	1,4852
598	1,51514	1,45264	1,45264
599	1,47593	1,41516	1,41516
600	1,43293	1,37402	1,37402
601	1,38426	1,32746	1,32746
602	1,33161	1,27708	1,27708
603	1,27741	1,22522	1,22522
604	1,22055	1,17081	1,17081
605	1,15982	1,1127	1,1127
606	1,09953	1,05498	1,05498
607	1,03844	0,996497	0,996497
608	0,974992	0,935714	0,935714
609	0,912071	0,875391	0,875391
610	0,85216	0,81793	0,81793
611	0,792116	0,760343	0,760343
612	0,734248	0,704842	0,704842
613	0,681001	0,653781	0,653781
614	0,630494	0,605364	0,605364
615	0,58115	0,558065	0,558065
616	0,536118	0,514887	0,514887
617	0,493781	0,474282	0,474282
618	0,452522	0,43469	0,43469
619	0,413961	0,397671	0,397671
620	0,379098	0,364191	0,364191
621	0,345864	0,332273	0,332273
622	0,315012	0,302639	0,302639
623	0,287511	0,276218	0,276218
624	0,262047	0,251754	0,251754
625	0,23788	0,228537	0,228537
626	0,215785	0,207311	0,207311
627	0,195523	0,187848	0,187848
628	0,176278	0,169374	0,169374
629	0,158661	0,152467	0,152467
630	0,143115	0,137557	0,137557
631	0,129025	0,124047	0,124047
632	0,116343	0,111888	0,111888
633	0,10526	0,101262	0,101262
634	0,0952695	0,0916803	0,0916803
635	0,0859518	0,0827397	0,0827397
636	0,0775083	0,0746339	0,0746339
637	0,0698152	0,0672499	0,0672499
638	0,0626554	0,0603812	0,0603812
639	0,0561774	0,0541682	0,0541682
640	0,0504614	0,0486906	0,0486906
641	0,0452805	0,0437291	0,0437291
642	0,0405867	0,0392269	0,0392269
643	0,0364423	0,0352444	0,0352444
644	0,0326877	0,0316341	0,0316341
645	0,0292104	0,0282859	0,0282859
646	0,0261004	0,0252922	0,0252922
647	0,0233501	0,0226532	0,0226532
648	0,0208353	0,0202454	0,0202454
649	0,0185725	0,0180836	0,0180836
650	0,0165898	0,0161933	0,0161933
651	0,0148079	0,0144965	0,0144965
652	0,0131603	0,012923	0,012923
653	0,011716	0,011544	0,011544
654	0,0104185	0,0102988	0,0102988
655	0,00921461	0,00914258	0,00914258
656	0,00812948	0,0080961	0,0080961
657	0,00717325	0,00718159	0,00718159
658	0,0062842	0,00633381	0,00633381
659	0,00547206	0,00556862	0,00556862
660	0,00475003	0,00489096	0,00489096
661	0,00408694	0,00427131	0,00427131
662	0,00346973	0,00368978	0,00368978
663	0,00291409	0,00316486	0,00316486
664	0,00241225	0,00268697	0,00268697
665	0,00195516	0,00225022	0,00225022
666	0,00154841	0,00185796	0,00185796
667	0,00118967	0,00151251	0,00151251
668	0,000858378	0,00119344	0,00119344
669	0,000565782	0,000906999	0,000906999
670	0,000298516	0,00064575	0,00064575
671	4,48026e-05	0,00040528	0,00040528
672	-0,000200906	0,000172317	0,000172317
673	-0,000419326	-3,5156e-05	-3,5156e-05
674	-0,000627177	-0,000219228	-0,000219228
675	-0,000821039	-0,000389296	-0,000389296
676	-0,000996539	-0,000545218	-0,000545218
677	-0,00114677	-0,000676902	-0,000676902
678	-0,0012888	-0,000798789	-0,000798789
679	-0,00141593	-0,000919642	-0,000919642
680	-0,00152779	-0,00102777	-0,00102777
681	-0,00163004	-0,00112725	-0,00112725
682	-0,00172911	-0,00122771	-0,00122771
683	-0,00181188	-0,00131462	-0,00131462
684	-0,00188535	-0,00138808	-0,00138808
685	-0,00195207	-0,00145455	-0,00145455
686	-0,00201004	-0,00151362	-0,00151362
687	-0,00205795	-0,00155813	-0,00155813
688	-0,00210587	-0,00159705	-0,00159705
689	-0,00215232	-0,00163048	-0,00163048
690	-0,00219652	-0,00165821	-0,00165821
691	-0,00223971	-0,00168222	-0,00168222
692	-0,00228429	-0,00170814	-0,00170814
693	-0,00232407	-0,00173861	-0,00173861
694	-0,00236095	-0,00177384	-0,00177384
695	-0,0023967	-0,00181396	-0,00181396
696	-0,00242912	-0,00185631	-0,00185631
697	-0,00245728	-0,00189643	-0,00189643
698	-0,00248374	-0,00193297	-0,00193297
699	-0,00250726	-0,00196513	-0,00196513
700	-0,00252696	-0,00199255	-0,00199255
701	-0,00254765	-0,00201691	-0,00201691
702	-0,00256603	-0,00203971	-0,00203971
703	-0,0025846	-0,00205723	-0,00205723
704	-0,00260456	-0,0020743	-0,0020743
705	-0,00262607	-0,0020911	-0,0020911
706	-0,00264509	-0,00210216	-0,00210216
707	-0,00266642	-0,00210896	-0,00210896
708	-0,00268401	-0,00211406	-0,00211406
709	-0,00269564	-0,00211139	-0,00211139
