Title: sol1_acid
Assay date: 11/01/2022 09:16:00
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1: sol1_acid	
nm	ABS
400	0,402701
401	0,40867
402	0,416856
403	0,425419
404	0,433058
405	0,440548
406	0,448124
407	0,455813
408	0,463546
409	0,471594
410	0,479888
411	0,487941
412	0,495728
413	0,503349
414	0,510593
415	0,517365
416	0,523933
417	0,530215
418	0,536003
419	0,541471
420	0,546893
421	0,552132
422	0,557327
423	0,562665
424	0,5679
425	0,572687
426	0,577144
427	0,581157
428	0,584624
429	0,587635
430	0,590378
431	0,592737
432	0,594713
433	0,596295
434	0,597483
435	0,598202
436	0,598566
437	0,598503
438	0,598057
439	0,597233
440	0,596128
441	0,59467
442	0,593118
443	0,591305
444	0,589071
445	0,586234
446	0,582875
447	0,578609
448	0,573721
449	0,568642
450	0,563607
451	0,558376
452	0,553349
453	0,548246
454	0,542537
455	0,536753
456	0,53057
457	0,523768
458	0,516622
459	0,50957
460	0,501318
461	0,493046
462	0,484504
463	0,475542
464	0,466252
465	0,457491
466	0,448395
467	0,439312
468	0,430436
469	0,421395
470	0,411998
471	0,402606
472	0,393412
473	0,383898
474	0,374446
475	0,365292
476	0,356246
477	0,34694
478	0,338231
479	0,329786
480	0,321208
481	0,312703
482	0,30455
483	0,296128
484	0,287618
485	0,279463
486	0,271376
487	0,263118
488	0,255029
489	0,247012
490	0,238684
491	0,230425
492	0,222565
493	0,214717
494	0,207027
495	0,199832
496	0,192806
497	0,185625
498	0,178723
499	0,172112
500	0,165451
501	0,158982
502	0,152936
503	0,146975
504	0,140905
505	0,135083
506	0,129335
507	0,123521
508	0,117889
509	0,112615
510	0,107493
511	0,102646
512	0,0982177
513	0,0939795
514	0,0897709
515	0,0856922
516	0,0816627
517	0,0775671
518	0,0736719
519	0,0700665
520	0,0665972
521	0,0632901
522	0,0601269
523	0,0568951
524	0,0536642
525	0,0506094
526	0,0476862
527	0,0449166
528	0,0424392
529	0,0401075
530	0,0378918
531	0,0359107
532	0,0341221
533	0,0325431
534	0,031472
535	0,0306349
536	0,0296931
537	0,0287771
538	0,0277006
539	0,0259178
540	0,0239264
541	0,0222009
542	0,0204869
543	0,0186971
544	0,0175872
545	0,0166677
546	0,0156231
547	0,0149061
548	0,0148136
549	0,0147189
550	0,0152603
551	0,0163711
552	0,0171471
553	0,0173063
554	0,0172661
555	0,0159677
556	0,0141294
557	0,0127222
558	0,0120988
559	0,0117411
560	0,0124833
