Title: sol2_basique
Assay date: 11/01/2022 09:23:08
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1: sol2_basique	
nm	ABS
400	0,113128
401	0,105647
402	0,099692
403	0,0931752
404	0,0861191
405	0,0795199
406	0,0732182
407	0,0669635
408	0,0616075
409	0,0569819
410	0,0526296
411	0,0486572
412	0,0452235
413	0,041851
414	0,0386675
415	0,0358913
416	0,03333
417	0,0309252
418	0,0287147
419	0,0266315
420	0,0247156
421	0,0230983
422	0,0218825
423	0,021107
424	0,0207194
425	0,0205311
426	0,0204596
427	0,020435
428	0,0204418
429	0,0204752
430	0,0206125
431	0,0208475
432	0,0211558
433	0,0214799
434	0,0218567
435	0,0222458
436	0,0227571
437	0,0233008
438	0,0239071
439	0,024622
440	0,0255615
441	0,0265445
442	0,0278739
443	0,0294822
444	0,031059
445	0,0323477
446	0,0336613
447	0,03447
448	0,0349013
449	0,0355853
450	0,0368519
451	0,0380994
452	0,0399569
453	0,0423565
454	0,0444859
455	0,0467787
456	0,0493516
457	0,0516513
458	0,0536109
459	0,0559648
460	0,0576004
461	0,0591582
462	0,0607735
463	0,0625774
464	0,0643087
465	0,0664706
466	0,0686284
467	0,0708617
468	0,0730661
469	0,0752485
470	0,0775609
471	0,0800457
472	0,0827767
473	0,0857394
474	0,0887853
475	0,0917925
476	0,0949006
477	0,0980329
478	0,101317
479	0,104927
480	0,108812
481	0,11274
482	0,116758
483	0,120831
484	0,124855
485	0,128836
486	0,132941
487	0,137152
488	0,141414
489	0,145757
490	0,150221
491	0,154733
492	0,159321
493	0,164112
494	0,169159
495	0,174443
496	0,179996
497	0,185809
498	0,191727
499	0,197632
500	0,203739
501	0,209934
502	0,216109
503	0,222447
504	0,229199
505	0,23599
506	0,24308
507	0,250606
508	0,258317
509	0,26593
510	0,273822
511	0,28185
512	0,289907
513	0,298265
514	0,307155
515	0,316312
516	0,325575
517	0,335394
518	0,34546
519	0,355491
520	0,365792
521	0,376724
522	0,387458
523	0,39836
524	0,409884
525	0,421629
526	0,433264
527	0,445476
528	0,458098
529	0,470493
530	0,483205
531	0,496712
532	0,510474
533	0,524591
534	0,539874
535	0,555418
536	0,570374
537	0,585406
538	0,600257
539	0,613941
540	0,627609
541	0,642219
542	0,65703
543	0,671771
544	0,687836
545	0,703932
546	0,719227
547	0,734642
548	0,75083
549	0,766217
550	0,782221
551	0,799314
552	0,816016
553	0,831763
554	0,84799
555	0,863054
556	0,877408
557	0,892734
558	0,909811
559	0,927224
560	0,946522
561	0,966906
562	0,987516
563	1,00778
564	1,02913
565	1,05078
566	1,07275
567	1,09582
568	1,12087
569	1,14666
570	1,17399
571	1,20362
572	1,23447
573	1,26544
574	1,29775
575	1,33075
576	1,36346
577	1,3971
578	1,43259
579	1,46849
580	1,50474
581	1,54207
582	1,57849
583	1,61236
584	1,64434
585	1,67368
586	1,69915
587	1,72137
588	1,74057
589	1,75571
590	1,76633
591	1,77221
592	1,77264
593	1,76737
594	1,75568
595	1,7375
596	1,71341
597	1,68324
598	1,64608
599	1,60344
600	1,55673
601	1,50392
602	1,44677
603	1,38794
604	1,32623
605	1,26031
606	1,19483
607	1,1285
608	1,05957
609	0,991195
610	0,926085
611	0,860864
612	0,798038
613	0,740289
614	0,685547
615	0,632088
616	0,583289
617	0,537392
618	0,492636
619	0,450791
620	0,412954
621	0,376899
622	0,343441
623	0,313615
624	0,28601
625	0,259814
626	0,235861
627	0,213889
628	0,193021
629	0,173908
630	0,157039
631	0,141746
632	0,127975
633	0,115939
634	0,105084
635	0,0949495
636	0,0857617
637	0,0773986
638	0,069614
639	0,0625735
640	0,0563716
641	0,0507478
642	0,0456462
643	0,0411375
644	0,0370475
645	0,033249
646	0,0298565
647	0,0268574
648	0,0241155
649	0,0216513
650	0,0194936
651	0,0175528
652	0,0157571
653	0,0141814
654	0,0127629
655	0,0114532
656	0,0102686
657	0,00922251
658	0,00825095
659	0,00736724
660	0,00657845
661	0,00585517
662	0,00518068
663	0,00457662
664	0,00402756
665	0,00352334
666	0,00307122
667	0,00267412
668	0,00230354
669	0,00197446
670	0,00167438
671	0,00139484
