Title: sol6
Assay date: 11/01/2022 09:41:13
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,355663
401	0,359364
402	0,365223
403	0,371332
404	0,376615
405	0,381842
406	0,387186
407	0,392619
408	0,39824
409	0,404234
410	0,410468
411	0,41657
412	0,422547
413	0,428389
414	0,433955
415	0,439204
416	0,444315
417	0,449204
418	0,453712
419	0,457963
420	0,462189
421	0,466323
422	0,470496
423	0,474876
424	0,479228
425	0,483241
426	0,486971
427	0,490327
428	0,493221
429	0,495752
430	0,498084
431	0,500119
432	0,501863
433	0,503278
434	0,504363
435	0,505046
436	0,505454
437	0,505489
438	0,505208
439	0,504629
440	0,503858
441	0,502799
442	0,501726
443	0,50047
444	0,498862
445	0,496706
446	0,494118
447	0,490674
448	0,486651
449	0,482485
450	0,478418
451	0,474157
452	0,470179
453	0,466242
454	0,461749
455	0,457242
456	0,452525
457	0,447298
458	0,441759
459	0,436446
460	0,430061
461	0,423575
462	0,416813
463	0,409676
464	0,402174
465	0,395122
466	0,387788
467	0,380467
468	0,373315
469	0,366023
470	0,35846
471	0,350932
472	0,343611
473	0,336056
474	0,328558
475	0,321297
476	0,31414
477	0,306766
478	0,299918
479	0,293358
480	0,286736
481	0,280181
482	0,27394
483	0,26748
484	0,260927
485	0,25466
486	0,248459
487	0,242127
488	0,235944
489	0,229842
490	0,223504
491	0,217253
492	0,211356
493	0,205509
494	0,199845
495	0,194636
496	0,189599
497	0,184472
498	0,179593
499	0,174942
500	0,170273
501	0,16578
502	0,161641
503	0,157594
504	0,153529
505	0,149691
506	0,145973
507	0,142274
508	0,138778
509	0,135577
510	0,132558
511	0,129797
512	0,127398
513	0,125212
514	0,123143
515	0,121222
516	0,119362
517	0,117534
518	0,115904
519	0,114509
520	0,113279
521	0,112281
522	0,111377
523	0,110443
524	0,109608
525	0,108946
526	0,108375
527	0,108021
528	0,107981
529	0,10802
530	0,108211
531	0,10873
532	0,109455
533	0,11041
534	0,111979
535	0,113785
536	0,115404
537	0,117053
538	0,118522
539	0,11921
540	0,119711
541	0,120578
542	0,121476
543	0,122313
544	0,123925
545	0,12571
546	0,127265
547	0,129128
548	0,131632
549	0,134017
550	0,137036
551	0,140722
552	0,144064
553	0,146753
554	0,149358
555	0,150725
556	0,151497
557	0,152772
558	0,154966
559	0,157416
560	0,161084
561	0,165026
562	0,168909
563	0,172491
564	0,176196
565	0,179779
566	0,183593
567	0,187586
568	0,191865
569	0,196328
570	0,201005
571	0,206027
572	0,211305
573	0,216661
574	0,222222
575	0,227916
576	0,233563
577	0,239349
578	0,245479
579	0,251755
580	0,258169
581	0,264855
582	0,271466
583	0,277652
584	0,283478
585	0,288806
586	0,29341
587	0,2974
588	0,300866
589	0,303653
590	0,305692
591	0,306967
592	0,307328
593	0,30669
594	0,304916
595	0,30199
596	0,298005
